UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1724077975.028;200;2.00
1724077975.077;200;2.00
1724077975.126;200;2.00
1724077975.176;200;2.00
1724077975.226;200;2.00
1724077975.276;200;2.00
1724077975.326;200;2.00
1724077975.376;200;2.00
1724077975.426;200;2.00
1724077975.476;200;2.00
1724077975.526;200;2.00
1724077975.576;200;2.00
1724077975.626;200;2.00
1724077975.676;200;2.00
1724077975.726;200;2.00
1724077975.776;200;2.00
1724077975.826;200;2.00
1724077975.876;200;2.00
1724077975.926;200;2.00
1724077975.976;200;2.00
1724077983.839;200;9.00;783927.00
1724077983.989;200;10.00;34555.00
1724077984.089;200;10.00;82076.00
1724077984.140;200;11.00;77452.00
1724077984.190;200;14.00;82522.00
1724077984.389;200;11.00;36245.00
1724077984.439;200;13.00;45274.00
1724077984.489;200;14.00;39985.00
1724077984.539;200;14.00;53444.00
1724077984.589;200;15.00;467.00
1724077984.639;200;22.00;51184.00
1724077984.689;200;12.00;30623.00
1724077984.739;200;21.00;28801.00
1724077984.939;200;12.00;1002.00
1724077984.989;200;12.00;86121.00
1724077985.039;200;9.00;521395.00
1724077985.089;200;22.00;51184.00
1724077985.590;200;10.00;26247.00
1724077985.640;200;13.00;96451.00
1724077990.295;200;9.00;238923.00
1724077990.345;200;12.00;82798.00
1724077990.395;200;12.00;40925.00
1724077990.445;200;10.00;21594.00
1724077990.495;200;16.00;41703.00
1724077990.545;200;18.00;5536.00
1724077990.595;200;14.00;14728.00
1724077990.795;200;15.00;85042.00
1724077990.845;200;20.00;8916.00
1724077990.895;200;22.00;51184.00
1724077990.945;200;19.00;70035.00
1724077990.995;200;12.00;31288.00
1724077991.045;200;13.00;87478.00
1724077991.095;200;17.00;45719.00
1724077991.296;200;16.00;41038.00
1724077991.346;200;18.00;81305.00
1724077991.396;200;14.00;4497.00
1724077991.450;200;10.00;34887.00
1724077991.496;200;19.00;9885.00
1724077991.546;200;22.00;51184.00
1724077991.596;200;20.00;9249.00
1724077991.645;200;22.00;51184.00
1724077991.796;200;11.00;36826.00
1724077991.847;200;22.00;51184.00
1724077991.897;200;16.00;46688.00
1724077991.946;200;22.00;51184.00
1724077991.996;200;20.00;41151.00
1724077992.046;200;22.00;51184.00
1724077992.096;200;22.00;51184.00
1724077992.346;200;13.00;5192.00
1724077992.397;200;9.00;398436.00
1724077992.447;200;10.00;81079.00
1724077992.497;200;9.00;97335.00
1724077992.547;200;22.00;51184.00
1724077992.847;200;22.00;51184.00
1724077992.898;200;14.00;15061.00
1724077993.347;200;14.00;61752.00
1724077993.397;200;22.00;51184.00
1724077993.948;200;12.00;56212.00
