UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1740142891.205;300;17.85;36391.20
1740142891.253;300;17.85;36391.20
1740142891.303;300;19.09;38237.20
1740142891.354;300;17.77;36273.20
1740142891.403;300;17.77;36273.20
1740142891.454;300;16.73;34735.46
1740142891.503;300;16.73;34735.46
1740142891.553;300;16.73;34735.46
1740142891.604;300;21.71;42112.00
1740142891.654;300;21.71;42112.00
1740142891.703;300;21.13;41255.27
1740142891.754;300;21.22;41379.87
1740142891.804;300;21.22;41379.87
1740142891.854;300;21.83;42289.67
1740142891.903;300;20.25;39955.00
1740142891.954;300;20.25;39955.00
1740142892.254;300;18.02;36643.73
1740142892.304;300;18.02;36643.73
1740142892.354;300;18.40;37207.46
1740142892.404;300;19.76;39227.33
1740142892.455;300;19.76;39227.33
1740142892.504;300;16.92;35023.87
1740142892.554;300;16.92;35023.87
1740142892.604;300;19.57;38938.33
1740142892.655;300;19.57;38938.33
1740142892.708;300;19.57;38938.33
1740142892.755;300;21.55;41870.73
1740142892.805;300;21.55;41870.73
1740142892.855;300;21.55;41870.73
1740142892.905;300;17.02;35163.73
1740142892.955;300;17.02;35163.73
1740142893.005;300;17.11;35303.73
1740142893.055;300;17.11;35303.73
1740142893.105;300;17.11;35303.73
1740142893.155;300;18.75;37732.87
1740142893.205;300;18.75;37732.87
1740142893.256;300;17.99;36602.67
1740142893.306;300;19.81;39303.27
1740142893.356;300;19.81;39303.27
1740142893.406;300;17.58;35996.13
1740142893.455;300;17.58;35996.13
1740142893.505;300;17.16;35368.27
1740142893.556;300;17.16;35368.27
1740142893.605;300;18.31;37080.87
1740142893.656;300;21.62;41976.87
1740142893.706;300;21.62;41976.87
1740142893.756;300;20.20;39871.13
1740142893.806;300;21.04;41117.80
1740142893.856;300;21.04;41117.80
1740142894.006;300;16.86;34928.80
1740142894.056;300;17.13;35333.73
1740142894.106;300;17.13;35333.73
1740142894.156;300;21.60;41951.33
1740142894.206;300;21.60;41951.33
1740142894.256;300;21.60;41951.33
1740142894.306;300;21.37;41614.27
1740142894.356;300;21.37;41614.27
1740142894.406;300;17.47;35836.46
1740142894.457;300;17.47;35836.46
1740142894.506;300;17.47;35836.46
1740142894.557;300;17.07;35236.67
1740142894.607;300;17.07;35236.67
1740142894.657;300;17.26;35519.73
1740142894.707;300;21.35;41579.20
1740142894.758;300;21.35;41579.20
1740142894.808;300;17.88;36435.54
1740142894.857;300;17.88;36435.54
1740142894.907;300;21.42;41680.07
1740142894.958;300;19.69;39120.27
1740142895.015;300;19.69;39120.27
1740142895.058;300;21.06;41149.13
1740142895.107;300;19.87;39392.13
1740142895.158;300;19.87;39392.13
1740142895.308;300;21.32;41530.54
1740142895.358;300;17.76;36269.87
1740142895.408;300;17.76;36269.87
1740142895.458;300;16.72;34725.33
1740142895.508;300;16.72;34725.33
1740142895.558;300;16.72;34725.33
1740142895.608;300;17.49;35865.87
1740142895.657;300;17.49;35865.87
1740142905.298;300;16.86;34934.67
1740142905.347;300;16.86;34934.67
1740142905.396;300;17.52;35908.54
1740142905.448;300;17.52;35908.54
1740142905.497;300;17.52;35908.54
1740142905.547;300;16.88;34962.67
1740142905.598;300;16.88;34962.67
1740142905.798;300;16.80;34839.07
1740142905.848;300;16.80;34839.07
1740142905.898;300;21.46;41747.87
1740142905.948;300;21.46;41747.87
1740142905.998;300;21.46;41747.87
1740142906.048;300;19.74;39194.67
1740142906.098;300;19.74;39194.67
1740142906.148;300;20.87;40866.46
1740142906.198;300;17.66;36111.46
1740142906.248;300;17.66;36111.46
1740142906.404;300;21.03;41099.67
1740142906.451;300;17.95;36540.54
1740142906.501;300;17.95;36540.54
1740142906.551;300;19.81;39298.33
1740142906.601;300;19.31;38555.27
1740142906.651;300;19.31;38555.27
1740142906.701;300;16.76;34777.54
1740142906.751;300;16.76;34777.54
1740142906.801;300;18.69;37634.27
1740142906.852;300;19.02;38121.07
1740142906.902;300;19.02;38121.07
1740142906.952;300;20.43;40223.20
1740142907.002;300;20.43;40223.20
1740142907.052;300;21.37;41602.33
1740142907.101;300;20.67;40569.80
1740142907.152;300;20.67;40569.80
1740142907.202;300;20.20;39882.27
1740142907.252;300;20.20;39882.27
1740142907.302;300;21.04;41116.93
1740142907.352;300;21.04;41116.93
1740142907.402;300;21.04;41116.93
1740142907.452;300;21.84;42307.07
1740142907.502;300;21.84;42307.07
1740142907.553;300;21.20;41361.87
1740142907.603;300;19.18;38366.07
1740142907.652;300;19.18;38366.07
1740142907.702;300;19.93;39474.93
1740142907.752;300;19.93;39474.93
1740142907.802;300;19.93;39474.93
1740142907.853;300;21.02;41095.40
1740142907.903;300;21.02;41095.40
1740142907.953;300;21.02;41095.40
1740142908.003;300;19.89;39414.40
1740142908.053;300;19.89;39414.40
1740142908.103;300;21.62;41985.54
1740142908.153;300;21.62;41985.54
1740142908.203;300;17.35;35655.33
1740142908.253;300;17.96;36556.33
1740142908.303;300;17.96;36556.33
1740142908.353;300;18.43;37248.07
1740142908.403;300;18.43;37248.07
1740142908.453;300;18.43;37248.07
1740142908.504;300;17.72;36206.67
1740142908.553;300;17.72;36206.67
1740142908.603;300;21.43;41702.60
1740142908.654;300;21.43;41702.60
1740142908.703;300;21.43;41702.60
1740142908.753;300;21.24;41409.07
1740142908.803;300;21.24;41409.07
1740142908.853;300;21.69;42086.73
1740142908.903;300;21.60;41946.67
1740142908.954;300;21.60;41946.67
1740142909.003;300;21.55;41882.07
1740142909.054;300;21.55;41882.07
1740142909.154;300;17.14;35342.46
1740142909.204;300;17.14;35342.46
1740142909.255;300;17.34;35646.73
1740142909.305;300;17.67;36131.20
1740142909.354;300;17.67;36131.20
1740142909.405;300;21.29;41485.60
1740142909.455;300;18.28;37040.00
1740142909.505;300;18.28;37040.00
1740142919.011;300;17.69;36160.46
1740142919.061;300;17.69;36160.46
1740142919.111;300;17.20;35434.54
1740142919.161;300;20.75;40686.93
1740142919.211;300;20.75;40686.93
1740142919.261;300;19.93;39470.27
1740142919.311;300;19.93;39470.27
1740142919.362;300;19.46;38781.80
1740142919.411;300;20.94;40977.60
1740142919.462;300;20.94;40977.60
1740142919.512;300;20.80;40763.40
1740142919.562;300;20.80;40763.40
1740142919.611;300;17.15;35355.46
1740142919.661;300;17.56;35973.87
1740142919.711;300;17.56;35973.87
1740142919.761;300;17.75;36250.67
1740142919.812;300;17.75;36250.67
1740142919.861;300;17.88;36442.13
1740142920.012;300;17.45;35799.93
1740142920.062;300;17.45;35799.93
1740142920.112;300;17.44;35789.00
1740142920.161;300;21.72;42125.73
1740142920.211;300;21.72;42125.73
1740142920.262;300;19.67;39091.73
1740142920.311;300;19.67;39091.73
1740142920.361;300;19.67;39091.73
1740142920.411;300;20.09;39714.20
1740142920.461;300;20.09;39714.20
1740142920.511;300;17.89;36454.00
1740142920.561;300;17.89;36454.00
1740142920.611;300;17.61;36033.20
1740142920.662;300;16.92;35023.46
1740142920.711;300;16.92;35023.46
1740142920.761;300;20.40;40178.46
1740142920.812;300;20.40;40178.46
1740142920.861;300;20.40;40178.46
1740142920.911;300;20.83;40813.54
1740142920.961;300;20.83;40813.54
1740142921.011;300;18.97;38059.07
1740142921.061;300;18.97;38059.07
1740142921.111;300;17.01;35153.87
1740142921.161;300;20.29;40008.07
1740142921.211;300;20.29;40008.07
1740142921.266;300;18.24;36966.73
1740142921.313;300;17.80;36328.13
1740142921.363;300;17.80;36328.13
1740142921.413;300;20.83;40812.73
1740142921.463;300;20.83;40812.73
1740142921.514;300;20.70;40615.60
1740142921.564;300;21.14;41264.46
1740142921.614;300;21.14;41264.46
1740142921.665;300;17.12;35311.87
1740142921.715;300;17.12;35311.87
1740142921.764;300;18.08;36740.80
1740142921.814;300;18.65;37580.07
1740142921.865;300;18.65;37580.07
1740142922.014;300;19.86;39378.80
1740142922.065;300;18.59;37493.80
1740142922.115;300;18.59;37493.80
1740142922.265;300;16.79;34819.46
1740142922.316;300;18.16;36858.20
1740142922.365;300;18.16;36858.20
1740142922.415;300;16.75;34768.54
1740142922.466;300;16.75;34768.54
1740142922.565;300;19.87;39382.60
1740142922.615;300;19.87;39382.60
1740142922.665;300;17.28;35551.33
1740142922.715;300;17.28;35551.33
1740142922.765;300;17.28;35551.33
1740142922.815;300;20.59;40455.33
1740142922.866;300;20.59;40455.33
1740142922.915;300;21.20;41363.27
1740142922.965;300;21.20;41363.27
1740142923.015;300;21.20;41363.27
1740142923.317;300;17.45;35804.54
1740142923.366;300;17.45;35804.54
1740142923.416;300;17.23;35483.46
1740142923.466;300;17.23;35483.46
1740142923.516;300;16.89;34973.87
1740143074.079;76;30.00;35081.07
1740143074.129;78;30.00;35877.87
1740143074.178;78;30.00;35877.87
1740143074.228;94;30.00;41072.00
1740143074.279;97;30.00;41970.00
1740143074.329;97;30.00;41970.00
1740143074.378;97;30.00;42099.87
1740143074.429;97;30.00;42099.87
1740143074.479;76;30.00;35273.93
1740143074.529;87;30.00;38678.67
1740143074.578;87;30.00;38678.67
1740143074.629;83;30.00;37532.20
1740143074.679;83;30.00;37532.20
1740143074.729;92;30.00;40408.07
1740143074.779;90;30.00;39881.00
1740143074.829;90;30.00;39881.00
1740143074.879;83;30.00;37546.80
1740143074.929;83;30.00;37546.80
1740143074.979;84;30.00;37901.73
1740143075.029;84;30.00;37901.73
1740143075.080;88;30.00;38971.13
1740143075.130;89;30.00;39589.93
1740143075.180;89;30.00;39589.93
1740143075.230;79;30.00;36085.60
1740143075.280;77;30.00;35490.13
1740143075.330;77;30.00;35490.13
1740143075.380;89;30.00;39555.20
1740143075.430;89;30.00;39555.20
1740143075.487;82;30.00;37327.93
1740143075.531;78;30.00;35885.73
1740143075.580;78;30.00;35885.73
1740143075.631;84;30.00;37870.00
1740143075.680;84;30.00;37870.00
1740143075.730;84;30.00;37870.00
1740143075.780;95;30.00;41330.27
1740143075.830;95;30.00;41330.27
1740143075.880;75;30.00;34970.13
1740143075.930;75;30.00;34970.13
1740143075.980;79;30.00;36250.40
1740143076.030;83;30.00;37513.40
1740143076.080;83;30.00;37513.40
1740143076.131;98;30.00;42311.54
1740143076.180;98;30.00;42311.54
1740143076.230;98;30.00;42311.54
1740143076.281;89;30.00;39567.40
1740143076.331;89;30.00;39567.40
1740143076.381;88;30.00;39077.33
1740143076.431;88;30.00;39077.33
1740143076.481;77;30.00;35526.67
1740143076.531;75;30.00;34938.13
1740143076.580;75;30.00;34938.13
1740143076.631;82;30.00;37189.13
1740143076.680;82;30.00;37189.13
1740143076.731;82;30.00;37145.07
1740143076.780;83;30.00;37505.73
1740143076.831;83;30.00;37505.73
1740143076.882;80;30.00;36392.67
1740143076.930;81;30.00;36763.60
1740143076.981;81;30.00;36763.60
1740143077.030;93;30.00;40742.46
1740143077.080;93;30.00;40742.46
1740143077.131;93;30.00;40742.46
1740143077.181;79;30.00;36270.40
1740143077.231;79;30.00;36270.40
1740143077.280;88;30.00;39167.93
1740143077.331;88;30.00;39167.93
1740143077.381;88;30.00;39020.73
1740143077.431;82;30.00;37067.67
1740143077.481;82;30.00;37067.67
1740143077.531;78;30.00;35831.33
1740143077.581;78;30.00;35831.33
1740143077.632;82;30.00;37317.27
1740143077.681;84;30.00;37809.20
1740143077.732;84;30.00;37809.20
1740143077.783;85;30.00;38148.87
1740143077.833;85;30.00;38148.87
1740143077.883;82;30.00;37227.27
1740143077.933;82;30.00;37227.27
1740143077.983;82;30.00;37227.27
1740143078.033;87;30.00;38640.27
1740143078.083;87;30.00;38640.27
1740143078.133;87;30.00;38640.27
1740143078.183;97;30.00;42153.40
1740143078.233;97;30.00;42153.40
1740143078.283;85;30.00;38007.80
1740143078.333;85;30.00;38007.80
1740143078.383;85;30.00;38007.80
1740143078.433;84;30.00;37811.80
1740143087.393;76;30.00;35136.00
1740143087.444;76;30.00;35136.00
1740143087.494;76;30.00;35136.00
1740143087.545;88;30.00;39076.00
1740143087.594;88;30.00;39076.00
1740143087.795;83;30.00;37443.54
1740143087.844;83;30.00;37443.54
1740143087.894;75;30.00;34877.60
1740143087.945;75;30.00;34877.60
1740143088.045;88;30.00;39270.67
1740143088.095;88;30.00;39270.67
1740143088.144;76;30.00;35159.46
1740143088.195;80;30.00;36418.80
1740143088.245;80;30.00;36418.80
1740143088.296;86;30.00;38315.80
1740143088.346;86;30.00;38315.80
1740143088.395;88;30.00;38959.54
1740143088.446;88;30.00;38959.54
1740143088.496;88;30.00;38959.54
1740143088.546;96;30.00;41680.20
1740143088.596;96;30.00;41680.20
1740143088.647;91;30.00;40009.93
1740143088.696;84;30.00;37843.67
1740143088.746;84;30.00;37843.67
1740143088.796;92;30.00;40502.93
1740143088.846;92;30.00;40502.93
1740143088.897;83;30.00;37544.87
1740143088.947;83;30.00;37544.87
1740143088.996;83;30.00;37544.87
1740143089.046;88;30.00;39224.07
1740143089.097;88;30.00;39224.07
1740143089.148;86;30.00;38551.27
1740143089.197;76;30.00;35140.27
1740143089.247;76;30.00;35140.27
1740143089.297;75;30.00;34893.07
1740143089.348;75;30.00;34893.07
1740143089.398;84;30.00;37839.54
1740143089.547;76;30.00;35057.87
1740143089.597;75;30.00;34936.27
1740143089.647;75;30.00;34936.27
1740143089.698;75;30.00;34980.27
1740143089.747;75;30.00;34980.27
1740143089.797;91;30.00;39953.67
1740143089.848;91;30.00;39953.67
1740143089.898;91;30.00;39953.67
1740143089.949;82;30.00;37297.40
1740143089.998;82;30.00;37297.40
1740143090.048;88;30.00;39247.67
1740143090.098;84;30.00;37924.80
1740143090.148;84;30.00;37924.80
1740143090.199;95;30.00;41412.93
1740143090.249;95;30.00;41412.93
1740143090.299;98;30.00;42382.27
1740143090.349;95;30.00;41295.67
1740143090.399;95;30.00;41295.67
1740143090.600;80;30.00;36374.67
1740143090.649;80;30.00;36374.67
1740143090.699;89;30.00;39321.60
1740143090.750;89;30.00;39321.60
1740143090.800;75;30.00;35000.20
1740143090.850;79;30.00;36347.54
1740143090.900;79;30.00;36347.54
1740143090.949;92;30.00;40580.67
1740143091.000;92;30.00;40580.67
1740143091.050;92;30.00;40580.67
1740143091.100;92;30.00;40480.40
1740143091.150;92;30.00;40480.40
1740143091.200;83;30.00;37620.27
1740143091.250;83;30.00;37620.27
1740143091.299;87;30.00;38713.40
1740143091.450;76;30.00;35351.60
1740143091.499;76;30.00;35351.60
1740143091.550;76;30.00;35351.60
1740143091.600;81;30.00;36916.93
1740143091.650;81;30.00;36916.93
1740143091.700;75;30.00;34816.40
1740143091.751;80;30.00;36673.93
1740143091.800;80;30.00;36673.93
1740143091.851;77;30.00;35389.93
1740143091.901;77;30.00;35389.93
1740143091.951;77;30.00;35671.40
1740143092.351;80;30.00;36662.20
1740143101.120;76;30.00;35282.00
1740143101.170;76;30.00;35282.00
1740143101.220;79;30.00;36172.00
1740143101.271;83;30.00;37489.20
1740143101.320;83;30.00;37489.20
1740143101.471;79;30.00;36048.27
1740143101.521;79;30.00;36048.27
1740143101.571;88;30.00;39211.80
1740143101.620;88;30.00;39211.80
1740143101.671;78;30.00;35927.13
1740143101.721;82;30.00;37134.13
1740143101.772;82;30.00;37134.13
1740143101.822;76;30.00;35309.87
1740143101.871;76;30.00;35309.87
1740143101.922;90;30.00;39808.93
1740143101.972;90;30.00;39808.93
1740143102.021;85;30.00;38097.73
1740143102.072;85;30.00;38097.73
1740143102.222;76;30.00;35133.20
1740143102.272;76;30.00;35319.46
1740143102.321;76;30.00;35319.46
1740143102.371;75;30.00;34749.33
1740143102.421;77;30.00;35542.67
1740143102.471;77;30.00;35542.67
1740143102.522;82;30.00;37164.87
1740143102.572;82;30.00;37164.87
1740143102.672;77;30.00;35490.73
1740143102.721;77;30.00;35490.73
1740143102.772;78;30.00;35782.27
1740143102.822;78;30.00;35782.27
1740143102.872;86;30.00;38595.27
1740143102.922;86;30.00;38595.27
1740143102.972;77;30.00;35421.73
1740143103.022;77;30.00;35629.67
1740143103.072;77;30.00;35529.40
1740143103.122;84;30.00;37936.60
1740143103.172;84;30.00;37936.60
1740143103.222;93;30.00;40762.80
1740143103.271;93;30.00;40762.80
1740143103.321;98;30.00;42304.00
1740143103.372;98;30.00;42304.00
1740143103.422;83;30.00;37607.27
1740143103.472;83;30.00;37607.27
1740143103.521;91;30.00;40045.27
1740143103.572;83;30.00;37444.20
1740143103.622;78;30.00;35714.27
1740143103.672;95;30.00;41487.60
1740143103.721;95;30.00;41487.60
1740143103.872;77;30.00;35394.54
1740143103.922;77;30.00;35394.54
1740143103.972;75;30.00;34865.87
1740143104.022;80;30.00;36422.13
1740143104.072;80;30.00;36422.13
1740143104.122;82;30.00;37051.40
1740143104.172;82;30.00;37051.40
1740143104.222;94;30.00;41017.33
1740143104.272;94;30.00;41017.33
1740143104.322;81;30.00;36728.07
1740143104.372;81;30.00;36728.07
1740143104.421;76;30.00;35288.40
1740143104.472;82;30.00;37309.13
1740143104.522;82;30.00;37309.13
1740143104.573;87;30.00;38863.13
1740143104.623;87;30.00;38863.13
1740143104.673;80;30.00;36454.67
1740143104.722;80;30.00;36454.67
1740143104.773;94;30.00;40915.60
1740143104.823;92;30.00;40262.07
1740143104.873;92;30.00;40262.07
1740143104.923;91;30.00;40114.54
1740143104.973;91;30.00;40114.54
1740143105.023;87;30.00;38911.07
1740143105.073;87;30.00;38911.07
1740143105.324;79;30.00;36288.54
1740143229.113;76;50.00;35335.20
1740143229.163;76;50.00;35335.20
1740143229.214;76;50.00;35335.20
1740143229.263;86;50.00;38384.80
1740143229.313;86;50.00;38384.80
1740143229.364;97;50.00;41988.87
1740143229.413;97;50.00;41988.87
1740143229.463;90;50.00;39914.80
1740143229.513;75;50.00;34805.87
1740143229.564;75;50.00;34805.87
1740143229.613;82;50.00;37150.13
1740143229.663;82;50.00;37150.13
1740143229.714;84;50.00;37775.40
1740143230.015;77;50.00;35409.60
1740143230.065;77;50.00;35409.60
1740143230.116;75;50.00;34794.67
1740143230.165;75;50.00;34794.67
1740143230.215;88;50.00;38971.60
1740143230.265;88;50.00;38976.07
1740143230.315;88;50.00;38976.07
1740143230.465;87;50.00;38941.33
1740143230.515;84;50.00;37675.54
1740143230.565;84;50.00;37675.54
1740143230.865;81;50.00;36813.93
1740143230.916;81;50.00;36813.93
1740143230.966;81;50.00;36813.93
1740143231.115;90;50.00;39713.60
1740143231.166;81;50.00;36770.40
1740143231.216;81;50.00;36770.40
1740143231.465;75;50.00;35018.13
1740143231.515;79;50.00;36297.13
1740143231.565;79;50.00;36297.13
1740143231.615;96;50.00;41801.33
1740143231.665;90;50.00;39776.33
1740143231.715;90;50.00;39776.33
1740143231.965;85;50.00;38184.93
1740143232.015;78;50.00;35909.73
1740143232.065;78;50.00;35909.73
1740143232.116;92;50.00;40349.73
1740143232.165;85;50.00;38151.13
1740143232.216;85;50.00;38151.13
1740143232.266;95;50.00;41277.33
1740143232.316;95;50.00;41277.33
1740143232.366;76;50.00;35239.87
1740143232.415;76;50.00;35239.87
1740143232.466;76;50.00;35284.93
1740143232.515;85;50.00;38188.33
1740143232.565;85;50.00;38188.33
1740143232.615;78;50.00;35948.80
1740143232.666;78;50.00;35948.80
1740143232.716;78;50.00;35948.80
1740143232.766;78;50.00;35836.00
1740143232.816;78;50.00;35836.00
1740143232.866;89;50.00;39578.07
1740143232.917;89;50.00;39578.07
1740143232.967;89;50.00;39444.20
1740143233.268;76;50.00;35200.46
1740143233.318;76;50.00;35200.46
1740143233.369;75;50.00;34726.54
1740143233.418;75;50.00;34726.54
1740143233.469;77;50.00;35642.00
1740143233.520;94;50.00;41130.46
1740143233.569;94;50.00;41130.46
1740143233.619;84;50.00;37829.80
1740143233.669;84;50.00;37829.80
1740143233.720;84;50.00;37829.80
1740143242.670;80;50.00;36381.20
1740143242.720;80;50.00;36381.20
1740143242.771;96;50.00;41755.93
1740143242.821;96;50.00;41755.93
1740143242.871;96;50.00;41747.20
1740143242.921;96;50.00;41747.20
1740143242.971;95;50.00;41436.54
1740143243.022;95;50.00;41436.54
1740143243.271;80;50.00;36597.07
1740143243.321;80;50.00;36597.07
1740143243.371;79;50.00;36298.60
1740143243.522;86;50.00;38505.07
1740143243.571;80;50.00;36388.80
1740143243.622;80;50.00;36388.80
1740143244.072;75;50.00;34824.13
1740143244.122;75;50.00;34824.13
1740143244.272;75;50.00;34974.54
1740143244.322;75;50.00;34974.54
1740143244.471;83;50.00;37459.54
1740143244.873;75;50.00;34831.46
1740143244.923;75;50.00;34831.46
1740143244.973;75;50.00;34811.20
1740143245.023;75;50.00;34811.20
1740143245.173;75;50.00;34990.00
1740143245.224;75;50.00;34990.00
1740143245.273;83;50.00;37635.67
1740143245.323;83;50.00;37635.67
1740143245.373;89;50.00;39538.46
1740143245.423;89;50.00;39538.46
1740143245.473;89;50.00;39538.46
1740143245.524;89;50.00;39315.87
1740143245.574;89;50.00;39315.87
1740143245.624;78;50.00;35760.60
1740143245.674;78;50.00;35760.60
1740143245.724;93;50.00;40657.87
1740143245.874;81;50.00;36723.20
1740143245.924;81;50.00;36723.20
1740143245.974;92;50.00;40503.40
1740143246.024;92;50.00;40503.40
1740143246.074;96;50.00;41582.00
1740143246.124;96;50.00;41582.00
1740143246.174;94;50.00;41153.40
1740143246.225;94;50.00;41153.40
1740143246.275;94;50.00;41153.40
1740143246.424;82;50.00;37145.93
1740143255.001;78;50.00;35868.07
1740143255.052;78;50.00;35868.07
1740143255.101;91;50.00;40070.00
1740143255.152;91;50.00;40070.00
1740143255.352;83;50.00;37648.33
1740143255.401;83;50.00;37648.33
1740143255.453;97;50.00;42103.20
1740143255.503;97;50.00;42103.20
1740143255.553;75;50.00;35045.87
1740143255.603;75;50.00;35045.87
1740143255.653;89;50.00;39312.33
1740143255.703;89;50.00;39312.33
1740143255.753;83;50.00;37614.07
1740143255.803;83;50.00;37614.07
1740143255.853;76;50.00;35145.87
1740143256.004;79;50.00;36177.73
1740143256.054;79;50.00;36177.73
1740143256.103;91;50.00;40158.00
1740143256.153;91;50.00;40158.00
1740143256.254;96;50.00;41677.60
1740143256.304;96;50.00;41677.60
1740143256.354;77;50.00;35416.00
1740143256.404;77;50.00;35416.00
1740143256.453;81;50.00;36892.67
1740143256.504;81;50.00;36892.67
1740143256.554;89;50.00;39376.13
1740143256.604;89;50.00;39376.13
1740143256.654;79;50.00;36216.54
1740143256.904;77;50.00;35481.00
1740143256.954;77;50.00;35481.00
1740143257.004;75;50.00;34851.46
1740143257.054;75;50.00;34851.46
1740143257.104;85;50.00;38132.80
1740143257.154;85;50.00;38132.80
1740143257.204;94;50.00;41017.60
1740143257.255;92;50.00;40370.33
1740143257.304;92;50.00;40370.33
1740143257.354;81;50.00;36899.07
1740143257.404;81;50.00;36899.07
1740143257.654;79;50.00;36143.27
1740143257.704;79;50.00;36143.27
1740143257.754;77;50.00;35522.13
1740143257.804;81;50.00;36689.20
1740143257.854;81;50.00;36689.20
