TimeStamp;baseValue
638751418890148236;37465.46
638751418890620420;37465.46
638751418891144129;38518.6
638751418891627383;40484.8
638751418892120760;40484.8
638751418892618496;38507.87
638751418893120996;39535.07
638751418893618554;39535.07
638751418894126118;37008.54
638751418894625398;37469.93
638751418895125504;37469.93
638751418895618296;37469.93
638751418896130230;37991.46
638751418896628722;37991.46
638751418897131536;41498.93
638751418897624215;35225.33
638751418898132144;35225.33
638751418898630166;36470.27
638751418900140087;40636.13
638751418900639128;39161.27
638751418901132401;39161.27
638751418901638686;43076.4
638751418902141925;40102.07
638751418902640741;40102.07
638751418903138145;42543.33
638751418903642711;40055.73
638751418904140453;40055.73
638751418904640006;39903.6
638751418905142769;36548.33
638751418905640160;36548.33
638751418906143118;37587.8
638751418906642193;38181.33
638751418907142017;38181.33
638751418907639247;38181.33
638751418908142453;35898.13
638751418908640550;35898.13
638751418909143546;35898.13
638751418909642321;37119.2
638751418910141095;35930.67
638751418910639319;35930.67
638751418911143614;35930.67
638751418911640780;41855.2
638751418912139211;37848.27
638751418912648951;37848.27
638751418913146890;41229.0
638751418913640879;37879.67
638751418914186230;37879.67
638751418914657854;40133.73
638751418915158404;39140.4
638751418915667220;39140.4
638751418916160609;38855.87
638751418916664428;34824.4
638751418917161802;34824.4
638751418917673947;34824.4
638751418919667160;37245.87
638751418920165410;37369.87
638751418920673985;37369.87
638751418921166164;40850.67
638751418921680106;40850.67
638751418922179433;40850.67
638751418922677832;37007.33
638751418923180564;36561.4
638751418923679506;36561.4
638751418924177773;39386.2
638751418924681834;39386.2
638751418925180548;39386.2
638751418925683092;42982.4
638751418926176103;41508.0
638751418926676993;41508.0
638751418927184918;39220.8
638751418927682684;38035.33
638751418928180341;38035.33
638751418928677326;38035.33
638751418929184383;43261.87
638751418929679550;43261.87
638751418930178246;43261.87
638751418930681396;38820.4
638751419026014197;35937.07
638751419026512009;35937.07
638751419027019295;35905.46
638751419027517333;38104.54
638751419028026229;38104.54
638751419028526720;38901.87
638751419029025596;37733.4
638751419029523178;37733.4
638751419030025874;37733.4
638751419030524092;35671.73
638751419031028405;35671.73
638751419031527421;35671.73
638751419032024847;39622.93
638751419032542717;36004.54
638751419033046164;36004.54
638751419033539739;42660.13
638751419034042595;37822.8
638751419034541207;37822.8
638751419035043710;37822.8
638751419035541989;44318.0
638751419036046203;44318.0
638751419036543961;44981.46
638751419037042097;41071.13
638751419037551292;41071.13
638751419038042089;41071.13
638751419038550530;42768.4
638751419039042945;42768.4
638751419039551865;42768.4
638751419040050322;42470.27
638751419040548550;42470.27
638751419041051789;43123.2
638751419041543078;37147.6
638751419042051676;37147.6
638751419042544391;37989.46
638751419043047954;37989.46
638751419043556194;37989.46
638751419044054636;45185.4
638751419044558370;36559.2
638751419045051101;36559.2
638751419045559440;36559.2
638751419047558159;36953.6
638751419048052831;36953.6
638751419048554940;35657.87
638751419049053565;35928.0
638751419049557719;35928.0
638751419050052372;35928.0
638751419050560704;34534.87
638751419051055394;34562.87
638751419051559419;34562.87
638751419052052049;34955.46
638751419052560982;36395.73
638751419053059365;36395.73
638751419053553460;35488.27
638751419054062391;42212.4
638751419054555148;42212.4
638751419055063381;42212.4
638751419055561709;38575.93
638751419056064204;38575.93
638751419056557376;38575.93
638751419057062193;44855.46
638751419057560274;43347.46
638751419058068154;43347.46
638751419058560279;37710.67
638751419059062621;37394.4
638751419059565748;37394.4
638751419060059184;37394.4
638751419060562165;44174.0
638751419061062238;44174.0
638751419061562073;44174.0
638751419062060741;36629.33
638751419062563523;36629.33
638751419063077594;38737.2
638751419063626141;34841.07
638751419064074094;34841.07
638751419064573147;35725.33
638751419154613727;37042.0
638751419155115597;37042.0
638751419155614075;38419.46
638751419156121158;41705.13
638751419156619626;41705.13
638751419157123778;39051.27
638751419157622854;37939.73
638751419158121927;37939.73
638751419158624460;34618.8
638751419159128278;37718.54
638751419159621744;37718.54
638751419160130751;37718.54
638751419160626076;39719.54
638751419161126469;39719.54
638751419161629452;39719.54
638751419162124685;39273.6
638751419162630497;39273.6
638751419163123097;39273.6
638751419163624740;42762.8
638751419164125493;42762.8
638751419164629117;42762.8
638751419165126527;41543.73
638751419165628539;41543.73
638751419166131564;41543.73
638751419166633757;46058.67
638751419167129191;46058.67
638751419167627361;46058.67
638751419168128531;39351.73
638751419168632271;39351.73
638751419169129667;39351.73
638751419169631645;41085.46
638751419170142379;41085.46
638751419170635077;41085.46
638751419171142418;38127.67
638751419171642503;38127.67
638751419172145959;38127.67
638751419172644432;34578.54
638751419173150102;38807.73
638751419173645247;38807.73
638751419174142088;38807.73
638751419174645970;43585.27
638751419175153892;43585.27
638751419175653318;43585.27
638751419176165451;40840.0
638751419176664822;40840.0
638751419177164913;40840.0
638751419177662189;36714.13
